Year,Group,Home_name,Home_seed,Away_name,Away_seed,Home_score,Away_score
2012,B,Inter,1,Lille,3,2,1
2012,B,CSKA.Moscow,2,Lille,3,0,2
2012,B,Trabzonspor,4,Inter,1,1,1
2012,B,Lille,3,Trabzonspor,4,0,0
2012,B,Inter,1,CSKA.Moscow,2,1,2
2012,C,Basel,3,Galati,4,2,1
2012,C,Benfica,2,Man.Utd,1,1,1
2012,C,Man.Utd,1,Basel,3,3,3
2012,C,Galati,4,Benfica,1,0,1
2012,C,Galati,4,Man.Utd,1,0,2
2012,C,Basel,3,Benfica,2,0,2
2012,C,Man.Utd,1,Galati,4,2,0
2012,C,Benfica,2,Basel,3,1,1
2012,C,Galati,4,Basel,3,2,3
2012,C,Man.Utd,1,Benfica,2,2,2
2012,C,Basel,3,Man.Utd,1,2,1
2012,C,Benfica,2,Galati,4,1,0
2012,D,Zagreb,4,R.Madrid,1,0,1
2012,D,Ajax,3,Lyon,2,0,0
2012,D,Lyon,2,Zagreb,4,2,0
2012,D,R.Madrid,1,Ajax,3,3,0
2012,D,R.Madrid,1,Lyon,2,4,0
2012,D,Zagreb,4,Ajax,3,0,2
2012,D,Lyon,2,R.Madrid,1,0,2
2012,D,Ajax,3,Zagreb,4,4,0
2012,D,R.Madrid,1,Zagreb,4,6,2
2012,D,Lyon,2,Ajax,3,0,0
2012,D,Zagreb,4,Lyon,2,1,7
2012,D,Ajax,3,R.Madrid,1,0,3
2012,E,Chelsea,1,Leverkusen,3,2,0
2012,E,Genk,4,Valencia,2,0,0
2012,E,Valencia,2,Chelsea,1,1,1
2012,E,Leverkusen,3,Genk,4,2,0
2012,E,Leverkusen,3,Valencia,2,2,1
2012,E,Chelsea,1,Genk,4,5,0
2012,E,Valencia,2,Leverkusen,3,3,1
2012,E,Genk,4,Chelsea,1,1,1
2012,E,Leverkusen,3,Chelsea,1,2,1
2012,E,Valencia,2,Genk,4,7,0
2012,E,Chelsea,1,Valencia,2,3,0
2012,E,Genk,4,Leverkusen,3,1,1
2012,F,Olympiacos,3,Marseille,2,0,1
2012,F,Dortmund,4,Arsenal,1,1,1
2012,F,Arsenal,1,Olympiacos,3,2,1
2012,F,Marseille,2,Dortmund,4,3,0
2012,F,Marseille,2,Arsenal,1,0,1
2012,F,Olympiacos,3,Dortmund,4,3,1
2012,F,Arsenal,1,Marseille,2,0,0
2012,F,Dortmund,4,Olympiacos,3,1,0
2012,F,Marseille,2,Olympiacos,3,0,1
2012,F,Arsenal,1,Dortmund,4,2,1
2012,F,Olympiacos,3,Arsenal,1,3,1
2012,F,Dortmund,4,Marseille,2,2,3
2012,G,Porto,1,Donetsk,2,2,1
2012,G,APOEL,4,Zenit,3,2,1
2012,G,Zenit,3,Porto,1,3,1
2012,G,Donetsk,2,APOEL,4,1,1
2012,G,Donetsk,2,Zenit,3,2,2
2012,G,Porto,1,APOEL,4,1,1
2012,G,Zenit,3,Donetsk,2,1,0
2012,G,APOEL,4,Porto,1,2,1
2012,G,Zenit,3,APOEL,4,0,0
2012,G,Donetsk,2,Porto,1,0,2
2012,G,Porto,1,Zenit,3,0,0
2012,G,APOEL,4,Donetsk,2,0,2
2012,H,Barcelona,1,Milan,2,2,2
2012,H,Plzen,4,Borisov,3,1,1
2012,H,Borisov,3,Barcelona,1,0,5
2012,H,Milan,2,Plzen,4,2,0
2012,H,Milan,2,Borisov,3,2,0
2012,H,Barcelona,1,Plzen,4,2,0
2012,H,Borisov,3,Milan,2,1,1
2012,H,Plzen,4,Barcelona,1,0,4
2012,H,Borisov,3,Plzen,4,0,1
2012,H,Milan,2,Barcelona,1,2,3
2012,H,Barcelona,1,Borisov,3,4,0
2012,H,Plzen,4,Milan,2,2,2
2011,A,Twente,4,Inter,1,2,2
2011,A,Bremen,2,Tottenham,3,2,2
2011,A,Tottenham,3,Twente,4,4,1
2011,A,Inter,1,Bremen,2,4,0
2011,A,Inter,1,Tottenham,3,4,3
2011,A,Twente,4,Bremen,2,1,1
2011,A,Tottenham,3,Inter,1,3,1
2011,A,Bremen,2,Twente,4,0,2
2011,A,Inter,1,Twente,4,1,0
2011,A,Tottenham,3,Bremen,2,3,0
2011,A,Twente,4,Tottenham,3,3,3
2011,A,Bremen,2,Inter,1,3,0
2011,B,Lyon,1,Schalke,3,1,0
2011,B,Benfica,2,Tel.Aviv,4,2,0
2011,B,Tel.Aviv,4,Lyon,1,1,3
2011,B,Schalke,3,Benfica,2,2,0
2011,B,Schalke,3,Tel.Aviv,4,3,1
2011,B,Lyon,1,Benfica,2,2,0
2011,B,Tel.Aviv,4,Schalke,3,0,0
2011,B,Benfica,2,Lyon,1,4,3
2011,B,Schalke,3,Lyon,1,3,0
2011,B,Tel.Aviv,4,Benfica,2,3,0
2011,B,Lyon,1,Tel.Aviv,4,2,2
2011,B,Benfica,2,Schalke,3,1,2
2011,C,Man.Utd,1,Rangers,3,0,0
2011,C,Bursaspor,4,Valencia,2,0,4
2011,C,Valencia,2,Man.Utd,1,0,1
2011,C,Rangers,3,Bursaspor,4,1,0
2011,C,Rangers,3,Valencia,2,1,1
2011,C,Man.Utd,1,Bursaspor,4,1,0
2011,C,Valencia,2,Rangers,3,3,0
2011,C,Bursaspor,4,Man.Utd,1,0,3
2011,C,Rangers,3,Man.Utd,1,0,1
2011,C,Valencia,2,Bursaspor,4,6,1
2011,C,Man.Utd,1,Valencia,2,1,1
2011,C,Bursaspor,4,Rangers,3,1,1
2011,D,Barcelona,1,Panathinaikos,2,5,1
2011,D,Copenhagen,3,Kazan,4,1,0
2011,D,Kazan,4,Barcelona,1,1,1
2011,D,Panathinaikos,2,Copenhagen,3,0,2
2011,D,Panathinaikos,2,Kazan,4,0,0
2011,D,Barcelona,1,Copenhagen,3,2,0
